Journal;Volume;Year;Issue;Title;Authors
IREE;10;2011;1;Editorial;Peter Davies, Ross Guest, David McCausland
IREE;10;2011;1;Improving Understanding of Collusion in Intermediate Microeconomics;Evan Moore
IREE;10;2011;1;Using Problem-based Learning for Introducing Producer Theory and Market Structure in Intermediate Microeconomics1;Ricard Rigall-I-Torrent
IREE;10;2011;1;Status Spending Races, Cooperative Consumption and Voluntary Public Income Disclosure;Damian S. Damianov, Shane Sanders
IREE;10;2011;1;Educating Latin American Economists;David Colander, Hugo \xc3\x91opo
IREE;10;2011;1;Confidentiality is Not Enough: Framing Effects in Student Evaluation of Economics Teaching;Kieron Meagher, Stephen Whelan
IREE;10;2011;1;Comment on Chen and Lin 'Does Downloading Power-Point Slides Before the Lecture Lead to Better Student Achievement?';Edmund Cannon
IREE;10;2011;1;Does Downloading PowerPoint Slides Before the Lecture Lead to Better Student Achievement?: Reply;Jennjou Chen, Tsui-Fang Lin
IREE;10;2011;1;TSP in Spreadsheets - a Guided Tour;Rasmus Rasmussen
IREE;10;2011;1;Using Excel to Illustrate Hannah and Kay's Concentration Axioms;Paul L. Latreille, James Mackley
IREE;10;2011;1;This Time is Different: Eight Centuries of Financial Folly;Stephen Buckles
IREE;10;2011;1;The Myth of the Rational Market: A History of Risk, Reward, and Delusion on Wall Street;John Brock
IREE;10;2011;1;Intermediate Macro Texts and the Economic Crisis of 2008-09;Jerry D. Gray, J. Michael Miller
IREE;10;2011;2;Editorial Issue 10.2;Ross Guest
IREE;10;2011;2;Time Allocations and Reward Structures for US Academic Economists from 1995-2005: Evidence from Three National Surveys;Cynthia L. Harter, William E. Becker, Michael Watts
IREE;10;2011;2;More Evidence on the Use of Constructed-Response Questions in Principles of Economics Classes;Stephen Hickson, Bob Reed
IREE;10;2011;2;Does Pluralism in Economics Education Make Better Educated, Happier Students? A Qualitative Analysis;Andrew Mearman, Tim Wakeley, Gamila Shoib, Don Webber
IREE;10;2011;2;Schumpeter's 'Vision' and the Teaching of Principles of Economics to Resource Students*;Paul Dalziel
IREE;10;2011;2;An Integrated Approach to Teaching Price Discrimination;Ann Marsden, Hugh Sibly
IREE;10;2011;2;Liquidity Trap in an Inflation-targeting Framework: A Graphical Analysis1;Pavel Kapinos
IREE;10;2011;2;Teaching Innovations in Economics: Strategies and Innovations for Interactive Instruction;Charles A. Stull
IREE;10;2011;2;Famous Figures and Diagrams in Economics;Patricia Hughes
IREE;11;2012;1;Editorial Issue 11.1;Peter Davies, Ross Guest, David McCausland
IREE;11;2012;1;Do Supplemental Online Recorded Lectures Help Students Learn Microeconomics?*;Jennjou Chen, Tsui-Fang Lin
IREE;11;2012;1;Faculty Perceptions of Grades: Results from a National Survey of Economics Faculty*;Lester Hadsell, Raymond MacDermott
IREE;11;2012;1;The Road to Transfer: Concept and Context Approaches to the Subject of Economics in Secondary School;Lenie Kneppers, Carla van Boxtel, Bernadette van Hout-Wolters
IREE;11;2012;1;Peer Effects on Undergraduate Business Student Performance;Salvador Contreras, Frank Badua, Mitchell Adrian
IREE;11;2012;1;Using Online Courseware to Play a Simulation Illustrating the Concept of Moral Hazard in Health Care;Michael H. Kennedy
IREE;11;2012;2;Editorial Issue 11.2;Peter Davies, Ross Guest, David McCausland
IREE;11;2012;2;Determinants of Malaysian and Singaporean Economics Undergraduates' Academic Performance;Chang Da Wan, Roland Cheo
IREE;11;2012;2;Performance Determinants in Undergraduate Economics Classes: The Effect of Cognitive Reflection;Alexei Orlov, John Roufagalas
IREE;11;2012;2;How Much is Students' College Performance Affected by Quantity of Study?;Hans Bonesr\xc3\xb8nning, Leiv Opstad
IREE;11;2012;2;Teaching Profit Seeking as the Source of Growth;David Kauper
IREE;11;2012;2;Bringing the 'Dismal Science' to Life: Teaching Economics Through Multimedia;Wayne Geerling
IREE;11;2012;2;An Interactive Computer Model of Two-Country Trade;William Hamlen, Kevin Hamlen
IREE;11;2012;2;Toward Teaching Markets as Complex Systems: A Web Based Simulation Assignment Implemented in Netlogo;Tim Kochanski
IREE;11;2012;2;The Heart of Teaching Economics: Lessons from Leading Minds;Sandra J. Odorzynski
IREE;12;2013;1;Health economics in the UK: Capacity, constraints and comparisons to US health economists;Billingsley Kaambwa, Emma Frew
IREE;12;2013;1;Bridging the gap between elementary and advanced approaches to teaching adverse selection;Ricard Rigall-I-Torrent
IREE;12;2013;1;Sweat the small stuff: The effect of small incentive changes on participation in service-learning;Timothy M. Diette, Sara E. Helms
IREE;12;2013;1;Using rubrics in economics;KimMarie McGoldrick, Brian Peterson
IREE;12;2013;1;An exploration of Robert Frank's 'The Economic Naturalist' in the classroom;Wayne Geerling
IREE;12;2013;1;Teaching basic econometric concepts using Monte Carlo simulations in Excel;Genevieve Briand, R. Carter Hill
IREE;12;2013;1;The occupy wall street movement and the principles of economics;David Colander
IREE;12;2013;1;Comment on David Colander article;Diane Coyle
IREE;12;2013;1;Response to David Colander;John Quiggin
IREE;12;2013;1;"A response to \xe2\x80\x9cOccupy Wall Street and the principles of economics"", by David Colander";John Sloman
IREE;13;2013;1;The distribution and utilization of class time: How long should class be, and should students even attend?;Robert C. Tatum, Keisha L. Childers
IREE;13;2013;1;Making economics real-The Economics Internship;Craig Cameron, Brett Freudenberg, Mark Brimble
IREE;13;2013;1;Employment and student performance in Principles of Economics;Jae-Kwang Hwang
IREE;13;2013;1;Paper and online assignments in economics: A comparison with panel data;Darragh Flannery, Brendan Kennelly, John Considine
IREE;13;2013;1;Inequality and growth: Understanding the link through a simulation;Michael Hanlon
IREE;13;2013;1;Housing prices and balance sheets effects: A classroom demonstration;Olena Mykhaylova, Shakun Mago, James Staveley-O\xe2\x80\x99Carroll
IREE;13;2013;1;T-shirts, moonshine, and autopsies: Using podcasts to engage undergraduate microeconomics students;Rebecca Moryl
IREE;13;2013;1;International Handbook on Teaching and Learning Economics, Gail M. Hoyt, KimMarie McGoldrick (Eds.). Edward Elgar (2012), 852 pp., ISBN: 978-1-84844-968-8;Eric P. Chiang
IREE;13;2013;1;The Price of Inequality: How's Today's Divided Society Endangers Our Future, Joseph E. Stiglitz. W.W. Norton (2012), 448 pp., ISBN 978-0-393-08869-4;Robert Tatum
IREE;14;2013;1;What's the Use of Economics? Teaching the Dismal Science after the Crisis, D. Coyle (Ed.). London Publishing Partnership in association with Enlightenment Economics, London (2012), 197 pp., ISBN: 978010907994-04-3;Helen H. Roberts
IREE;14;2013;1;Is distance learning really a substitute for on-site learning? Perceptions of faculty who teach undergraduate economics using both formats;Timothy Wunder, Dawn Richards Elliott, Scott England
IREE;14;2013;1;Iclickers and student performance;Tanga McDaniel Mohr
IREE;14;2013;1;The impact of analyzing economic events on the learning of undergraduate economic theory;J. Dean Craig, Samuel R. Raisanen
IREE;14;2013;1;Utilizing online tools to measure effort: Does it really improve student outcome?;Sharmistha Self
IREE;14;2013;1;Teacher training and economics understanding of Albanian high school students;Dolore B. Bushati, Barbara Phipps
IREE;14;2013;1;Of mice and pens: A discrete choice experiment on student preferences for assignment systems in economics;Darragh Flannery, Brendan Kennelly, Edel Doherty, Stephen Hynes, John Considine
IREE;14;2013;1;Using box office revenues in the economics classroom;David M. Lang
IREE;14;2013;1;Teaching macroeconomics through flowcharts;Yaniv Reingewertz
IREE;14;2013;1;A note on teaching externalities: Distinguishing between consumption and production externalities;Helen Naughton
IREE;15;2014;1;Does lecture attendance affect academic performance? Panel data evidence for introductory macroeconomics;Vincenzo Andrietti
IREE;15;2014;1;The effect of blended courses on student learning: Evidence from introductory economics courses;Neal H. Olitsky, Sarah B. Cosgrove
IREE;15;2014;1;An active-learning exercise on learning negotiation as a way to mitigate the gender wage gap for introductory microeconomics;Kristen Roche
IREE;15;2014;1;Finding mixed strategy Nash equilibria with decision trees;Barry R. Cobb, Tinni Sen
IREE;15;2014;1;The tradable pollution permit exercise: Three additional tools;Michael A. McPherson, Michael L. Nieswiadomy
IREE;15;2014;1;Earth-economics: A closed economy approach with real world data;Peter A.G. van Bergeijk
IREE;17;2014;1;Factors influencing the performance of non-economics majors in an introductory economics course;Eleanor Denny
IREE;17;2014;1;Watching the watchmen: A statistical analysis of mark consistency across taught modules;Marco G. Ercolani, Joanne S. Ercolani
IREE;17;2014;1;Non-response bias in student evaluations of teaching;Clifford Nowell, Lewis R. Gale, Joe Kerkvliet
IREE;17;2014;1;What determines students' choices of elective modules?;Mary R. Hedges, Gail A. Pacheco, Don J. Webber
IREE;17;2014;1;Instructor attire and student performance: Evidence from an undergraduate industrial organization experiment;J. Dean Craig, Scott J. Savage
IREE;17;2014;1;Do student responses parallel theory? Evidence from an oligopoly experiment;Michael P. Ryan, Susann M. Doyle-Portillo
IREE;17;2014;1;Student perceptions toward flipped learning: New methods to increase interaction and active learning in economics;Travis Roach
IREE;17;2014;1;The happiness of economists: Estimating the causal effect of studying economics on subjective well-being;Justus Haucap, Ulrich Heimeshoff
IREE;17;2014;1;Does Supplemental Instruction for Principles of Economics improve outcomes for traditionally underrepresented minorities?;Beth Wilson, Sarah Rossig
IREE;17;2014;1;A picture is worth a thousand words (at least): The effective use of visuals in the economics classroom;Jose J. Vazquez, Eric P. Chiang
IREE;17;2014;1;Understanding student attendance in business schools: An exploratory study;Andrew Mearman, Gail Pacheco, Don Webber, Artjoms Ivlevs, Tanzila Rahman
IREE;17;2014;1;New Developments in Economic Education, F.G. Mixon, R.J. Cebula (Eds.). Edward Elgar Publishing Limited (2014), 255 pp., ISBN: 978-1-78254-971-0;Elizabeth Breitbach
IREE;17;2014;1;The Undercover Economist Strikes Back: How to Run or Ruin an Economy, T. Harford. Little, Brown Book Group, Kindle edition, London, UK (2013), \xc2\xa34.99, ISBN: 978-1-4055-1962-5;Matthew Olczak
IREE;18;2015;1;Exploring Easter Island economics with Excel;Thomas R. Dalton, R. Morris Coats, R. Andrew Luccasen
IREE;18;2015;1;Student evaluation based indicators of teaching excellence from a highly selective liberal arts college;Aju Jacob Fenn
IREE;18;2015;1;A practical guide to incorporating service learning into development economics classes;Julia Paxton
IREE;18;2015;1;Empirical assessment of e-learning on performance in principles of economics;Ali Aljamal, Hanas Cader, Charles Chiemeke, Mark Speece
IREE;18;2015;1;Numerical simulations of competition in quantities;Devon Gorry, John Gilbert
IREE;18;2015;1;A model to assess students' social responsibility behavior within a classroom experiment;Amalia Rodrigo-Gonz\xc3\xa1lez, Mar\xc3\xada Caballer-Tarazona
IREE;18;2015;1;"Erratum to \xe2\x80\x9cWatching the watchmen: A statistical analysis of mark consistency across taught modules"" [Int. Rev. Econ. Educ. 17 (2014) 17-29]";Marco G. Ercolani, Joanne S. Ercolani
IREE;19;2015;1;Bringing imagination back to the classroom: A model for creative arts in economics;Mary E. Davis
IREE;19;2015;1;Teaching the economic way of thinking through Op-eds;Joshua C. Hall, Marta Podemska-Mikluch
IREE;19;2015;1;Virtual Learning Environments: Linking participation to evaluation;John Moffat, Catherine Robinson
IREE;19;2015;1;Engaging students using social media: The students' perspective;Abdullah Al-Bahrani, Darshak Patel, Brandon Sheridan
IREE;20;2015;1;Reflections on the one-minute paper;Damian Whittard
IREE;20;2015;1;Flipping out about the flip: All hype or is there hope?;Lauren Calimeris, Katherine M. Sauer
IREE;20;2015;1;Teaching economic principles with analogies;Mariya Burdina, Katherine M. Sauer
IREE;20;2015;1;An argument for the use of the square-root functional form in teaching undergraduate microeconomics;Robert Sproule
IREE;20;2015;1;The impact of classroom demonstrations and online discussions on student achievement;James Staveley-O\xe2\x80\x99Carroll
IREE;21;2016;1;The better blend? Flipping the principles of microeconomics classroom;Neal H. Olitsky, Sarah B. Cosgrove
IREE;21;2016;1;Taking higher order thinking seriously: Using Marzano's taxonomy in the economics classroom;Justin M. Dubas, Santiago A. Toledo
IREE;21;2016;1;Cooperative learning and personality types;Tisha L.N. Emerson, Linda English, KimMarie McGoldrick
IREE;21;2016;1;Salary and job satisfaction among economics and business graduates: The effect of match between degree field and job;John Robst, Jennifer VanGilder
IREE;21;2016;1;A lottery on the first day of classes! An innovative structured steps assignment on a partially randomly selected topic;Heba E. Helmy
IREE;21;2016;1;Second-order accelerator of investment: The case of discrete time;Eleni Dalla, Erotokritos Varelas
IREE;22;2016;1;"Student-crafted experiments \xe2\x80\x9cfrom the ground up""";Stacie Bosley
IREE;22;2016;1;A role-play to explain cartel behavior: Discussing the oligopolistic market;Manuel Correa, Fernando Garc\xc3\xada-Quero, Marta Ortega-Ortega
IREE;22;2016;1;Putting yourself in the picture with an 'ECONSelfie': Using student-generated photos to enhance introductory economics courses;Abdullah Al-Bahrani, Kim Holder, Rebecca L. Moryl, Patrick Ryan Murphy, Darshak Patel
IREE;22;2016;1;Teaching comparative economic systems 25 years after the collapse of the Soviet Union;Marianne Johnson, Alexander Kovzik
IREE;22;2016;1;Understanding strategic competition using numerical simulations and dynamic diagrams in Mathematica;Mario Pezzino
IREE;22;2016;1;The value of a redesigned program and capstone course in economics;Ishuan Li, Robert D. Simonson
IREE;23;2016;1;Economics: An elite subject soon only available in elite universities?;John Lodewijks, Anthony Stokes, Sarah Wright
IREE;23;2016;1;Teaching quality and academic research;Rosa Rodr\xc3\xadguez, Gonzalo Rubio
IREE;23;2016;1;A case study on using instructor-recorded videos in an upper level economics course;O. David Gulley, Aaron L. Jackson
IREE;23;2016;1;Periscoping economics through someone else's eyes: A real world (Twitter) app;Chelsea T. Dowell, Daniel F. Duncan
IREE;23;2016;1;Debilitating and facilitating test anxiety and student motivation and achievement in principles of microeconomics;Ahmad A. Kader
IREE;23;2016;1;The perception-reality gap in financial literacy: Evidence from the most literate state in India;Abdul Latheef Kiliyanni, Sunitha Sivaraman
IREE;23;2016;1;A simple climate-Solow model for introducing the economics of climate change to undergraduate students;Panagiotis Tsigaris, Joel Wood
IREE;24;2017;1;Financial literacy among Mexican high school teenagers;Eva O. Arceo-G\xc3\xb3mez, F. Alejandro Villag\xc3\xb3mez
IREE;24;2017;1;Students' preferences for attributes of postgraduate economics modules: Evidence from a multi-profile best-worst scaling survey;Keila Meginnis, Danny Campbell
IREE;24;2017;1;A model to teach non-rival and excludable goods in undergraduate microeconomics;Aaron D. Wood
IREE;24;2017;1;An introductory microeconomics in-class experiment to reinforce the marginal utility/price maximization rule and the integration of modern theory;David G. Raboy
IREE;24;2017;1;Learning by doing: Do economics students self-evaluation skills improve?;Jon Guest, Robert Riegler
IREE;25;2017;1;Patreonomics: Public goods pedagogy for economics principles;Franklin G. Mixon Jr., Carlos J. Asarta, Steven B. Caudill
IREE;25;2017;1;How to integrate economic analysis into classroom discussions of diversity?;Dennis L. Weisman
IREE;25;2017;1;The source and impact of student preconceptions in economics principles classes;Richard Parsons, Michael Mamo
IREE;25;2017;1;The power of a simple verbal explanation: Evaluating the efficacy of narrated feedback;Eric P. Chiang, Jose J. Vazquez
IREE;25;2017;1;Humanities as technology in teaching economics;Jeffrey Wagner
IREE;25;2017;1;The Econocracy: The Perils of Leaving Economics to the Experts, J. Earle, C. Moran, Z. Ward-Perkins. Manchester University Press, Manchester (2016). 212 pp., pb \xc2\xa310.00, ISBN 978-1526-110138;Andrew Mearman
IREE;25;2017;1;The Econocracy: The Perils of Leaving Economics to the Experts, J. Earle, C. Moran, Z. Ward-Perkins. Manchester University Press, Manchester (2016). 212 pp., pb \xc2\xa310.00, ISBN 978-1526-110138;Edmund Cannon
IREE;26;2017;1;Will this be on the test? How exam structure affects perceptions of innovative assignments in a masters of science microeconomics course;Kelly A. Grogan
IREE;26;2017;1;Failures in adopting green technology under perfect pollution pricing and monopoly;Andrew Davis
IREE;26;2017;1;Using twitter for economics business case discussions in large lectures;Michael D. Jones, Max Baltzersen
IREE;26;2017;1;Introducing economics to millennials;Jos\xc3\xa9 A. Carrasco-Gallego
IREE;26;2017;1;How economics professors can stop failing us. The discipline at a crossroads, Steven Payson, Lexington Books, Maryland (2017). 358 pp., hardback US$110.00, ISBN 978-0-7391-9833-9;Martin Shanahan
IREE;27;2018;1;Teaching economics using 'Cases' - Going beyond the 'Chalk-And-Talk' method;Mona Ray
IREE;27;2018;1;From Solow to Romer: Teaching endogenous technological change in undergraduate economics;Angus C. Chu
IREE;27;2018;1;Teaching economics to the masses: The effects of student help centers on academic outcomes;Steven L. Cobb, Michael A. McPherson, David J. Molina, John Quintanilla, ... Jeffrey J. Rous
IREE;27;2018;1;A new video-based tool to enhance teaching economics;Christiane Kuhn, Olga Zlatkin-Troitschanskaia, Sebastian Br\xc3\xbcckner, Hannes Saas
IREE;27;2018;1;Monetary incentives and self-chosen goals in academic performance: An experimental study;Noem\xc3\xad Herranz-Zarzoso, Gerardo Sabater-Grande
IREE;16;2014;1;Construct validity of financial literacy;Michael Schuhen, Susanne Sch\xc3\xbcrkmann
IREE;16;2014;1;Factors associated with financial literacy among high school students in New Zealand;Michael P. Cameron, Richard Calderwood, Ashleigh Cox, Steven Lim, Michio Yamaoka
IREE;16;2014;1;Comparison of financial literacy between Korean and U.S. high school students;Kyungho Jang, Jinsoo Hahn, Hyung Joon Park
IREE;16;2014;1;The features and effectiveness of the Keys to Financial Success curriculum;Carlos J. Asarta, Andrew T. Hill, Bonnie T. Meszaros
IREE;16;2014;1;Financial literacy education in the curriculum: Making the grade or missing the mark?;Levon Blue, Peter Grootenboer, Mark Brimble
IREE;16;2014;1;Note of gratitude to Peter Davies;
IREE;16;2014;1;Pluralism at work: Alumni assess an economics education;Brian Cooper, Elizabeth A. Ramey
IREE;16;2014;1;How should economics curricula be evaluated?;Andrew Mearman
IREE;16;2014;1;The case for the traditional classroom;Alan Green
IREE;16;2014;1;Reinterpreting the economics textbook: A student assignment;Eleanor Denny
IREE;16;2014;1;Students' overreliance on linearity in economic thinking: An exploratory study at the tertiary level;Dirk De Bock, Daam Van Reeth, Janne Minne, Wim Van Dooren
IREE;16;2014;1;Teaching economics with a bag of chocolate: A classroom experiment for elementary school students;Nicholas G. Rupp
IREE;16;2014;1;Using MS Excel to solve and simulate the Life-Cycle/Permanent-Income Model of Consumption and Saving;T. Scott Findley
IREE;16;2014;1;Teaching the multiplier: The value of a quantitative approach;Paul Turner, Justine A. Wood
IREE;16;2014;1;Evaluating the impact of a web-based resource on student learning;Matthew Olczak
